horizon,variable,shock,variance_share
23,robs,eg,0.009674498577078677
23,robs,eqs,0.05206124269289376
23,robs,em,0.2761855990791638
23,robs,epinf,92.0119596667406
23,robs,ew,7.430861363675703
24,dy,ea,0.8168913388559188
24,dy,eb,4.9776890385117465
24,dy,eg,6.578602819947496
24,dy,eqs,2.3457061838321644
24,dy,em,3.588393047291631
24,dy,epinf,76.6047754041187
24,dy,ew,5.087942167442342
24,pinfobs,ea,0.007463734836559295
24,pinfobs,eb,0.0006839109033524064
24,pinfobs,eg,0.0004046228311014447
24,pinfobs,eqs,0.000551665838939217
24,pinfobs,em,0.020967794836290018
24,pinfobs,epinf,93.15456383658972
24,pinfobs,ew,6.81536443416402
24,robs,ea,0.12017815088798377
24,robs,eb,0.09089115886426954
24,robs,eg,0.009339793616579028
24,robs,eqs,0.05012381741133167
24,robs,em,0.2658015616494751
24,robs,epinf,91.98657540545193
24,robs,ew,7.477090112118426
25,dy,ea,0.8202106212670321
25,dy,eb,4.975473040173664
25,dy,eg,6.575659821929747
25,dy,eqs,2.3449255224100822
25,dy,em,3.5893841745304287
25,dy,epinf,76.59848367575573
25,dy,ew,5.095863143933316
25,pinfobs,ea,0.007252969434248054
25,pinfobs,eb,0.0006639650452501003
25,pinfobs,eg,0.0003987977177585688
25,pinfobs,eqs,0.0005401621508823707
25,pinfobs,em,0.020372233766125944
25,pinfobs,epinf,93.12309710211775
25,pinfobs,ew,6.847674769767985
25,robs,ea,0.11592280499509625
25,robs,eb,0.08761327461380762
25,robs,eg,0.009032058531368556
25,robs,eqs,0.04835025622690205
25,robs,em,0.25623823377968113
25,robs,epinf,91.96401396194017
25,robs,ew,7.518829409912964
26,dy,ea,0.8233337370230749
26,dy,eb,4.974064936725624
26,dy,eg,6.573791187665432
26,dy,eqs,2.344458522951781
26,dy,em,3.5903028045358174
26,dy,epinf,76.59232053792208
26,dy,ew,5.10172827317619
26,pinfobs,ea,0.007055009096907867
26,pinfobs,eb,0.0006452016000427547
26,pinfobs,eg,0.00039319238929049963
26,pinfobs,eqs,0.0005300450493204001
26,pinfobs,em,0.019807290552082767
26,pinfobs,epinf,93.09434927457526
26,pinfobs,ew,6.877219986737098
26,robs,ea,0.11198787251109871
26,robs,eb,0.08458397491139145
26,robs,eg,0.008747662608995167
26,robs,eqs,0.04671836158418817
26,robs,em,0.24739040104886056
26,robs,epinf,91.94417497100828
26,robs,ew,7.556396756327192
27,dy,ea,0.8262290938141577
27,dy,eb,4.973183112718467
27,dy,eg,6.572622558009401
27,dy,eqs,2.3441889714340745
27,dy,em,3.5910997409740157
27,dy,epinf,76.58669742196889
27,dy,ew,5.1059791010809965
27,pinfobs,ea,0.006868607170265331
27,pinfobs,eb,0.0006275193839127073
27,pinfobs,eg,0.00038779615895013445
27,pinfobs,eqs,0.0005211065415710379
27,pinfobs,em,0.019271433567317805
27,pinfobs,epinf,93.06811964548295
27,pinfobs,ew,6.90420389169504
27,robs,ea,0.10833364747970077
27,robs,eb,0.08177189913151736
27,robs,eg,0.008483619471418232
27,robs,eqs,0.04520962773756038
27,robs,em,0.23917087138699156
27,robs,epinf,91.9269382326118
27,robs,ew,7.590092102181012
28,dy,ea,0.828882298868352
28,dy,eb,4.972633879896907
28,dy,eg,6.571896440400607
28,dy,eqs,2.3440381236967
28,dy,em,3.5917559130076793
28,dy,epinf,76.58181215248379
28,dy,ew,5.10898119164598
28,pinfobs,ea,0.006692678976259461
28,pinfobs,eb,0.0006108260890896743
28,pinfobs,eg,0.0003825987595133346
28,pinfobs,eqs,0.0005131594098928571
28,pinfobs,em,0.018763038645210946
28,pinfobs,epinf,93.04422213141098
28,pinfobs,ew,6.9288155667090585
28,robs,ea,0.10492702577440188
