variable,shock,period,value
pinfobs,eqs,15,-0.04832435394718693
pinfobs,eqs,16,-0.0466453764525131
pinfobs,eqs,17,-0.044803433096671674
pinfobs,eqs,18,-0.0428527093355644
pinfobs,eqs,19,-0.040840179522159015
robs,eqs,0,0.030293832307274116
robs,eqs,1,0.06164098201689394
robs,eqs,2,0.09030128847825813
robs,eqs,3,0.11388099293745402
robs,eqs,4,0.13132423350018918
robs,eqs,5,0.1424434703919042
robs,eqs,6,0.14758784118252133
robs,eqs,7,0.14741826877644515
robs,eqs,8,0.14275532296208482
robs,eqs,9,0.13447626553030156
robs,eqs,10,0.1234461655514767
robs,eqs,11,0.11047326375160238
robs,eqs,12,0.0962819085739417
robs,eqs,13,0.08149829157529487
robs,eqs,14,0.06664543118420108
robs,eqs,15,0.05214469401203936
robs,eqs,16,0.038321760168517294
robs,eqs,17,0.02541541567740091
robs,eqs,18,0.01358793474524167
robs,eqs,19,0.0029361216307486337
y,eqs,0,0.9016685303363438
y,eqs,1,1.51461526009125
y,eqs,2,1.921925838647406
y,eqs,3,2.1698813601271816
y,eqs,4,2.2974032070544124
y,eqs,5,2.3367057711453514
y,eqs,6,2.3139993778048957
y,eqs,7,2.250214192183091
y,eqs,8,2.161714339149377
y,eqs,9,2.060979188029598
y,eqs,10,1.957236419225411
y,eqs,11,1.8570375957078435
y,eqs,12,1.7647715909789106
y,eqs,13,1.6831146725031219
y,eqs,14,1.6134185600484656
y,eqs,15,1.5560395650851346
y,eqs,16,1.510613119564296
y,eqs,17,1.4762787399027184
y,eqs,18,1.4518608441372822
y,eqs,19,1.436010930510934
lab,eqs,0,0.945622393947204
lab,eqs,1,1.4323882699490929
lab,eqs,2,1.676749495944605
lab,eqs,3,1.743100816751007
lab,eqs,4,1.683721188165538
lab,eqs,5,1.5402900975857652
lab,eqs,6,1.3453952758775785
lab,eqs,7,1.123948364497657
lab,eqs,8,0.8944757289268797
lab,eqs,9,0.6702721033158445
lab,eqs,10,0.46041493555977886
lab,eqs,11,0.27064317956999173
lab,eqs,12,0.10410792061076646
lab,eqs,13,-0.03799552892876212
lab,eqs,14,-0.15590313400576994
lab,eqs,15,-0.2508537208370536
lab,eqs,16,-0.3247450483246499
lab,eqs,17,-0.37986308764419285
lab,eqs,18,-0.41867381839036444
lab,eqs,19,-0.44366762476187804
