horizon,variable,shock,variance_share
12,dy,ea,1.3969203133308972
12,dy,eb,47.1429663547436
12,dy,eg,2.38229883999706
12,dy,eqs,10.608865718314853
12,dy,em,8.462815577409364
12,dy,epinf,27.208057337011788
12,dy,ew,2.798075859192446
12,pinfobs,ea,0.04306331591530142
12,pinfobs,eb,0.43800156552797237
12,pinfobs,eg,0.002317186257055493
12,pinfobs,eqs,0.15218585321644706
12,pinfobs,em,0.21024113181581852
12,pinfobs,epinf,93.68473371383428
12,pinfobs,ew,5.469457233433122
12,robs,ea,0.08085254356700607
12,robs,eb,3.3473072004920024
12,robs,eg,0.01435983284282108
12,robs,eqs,0.4290072657736393
12,robs,em,2.639398278618812
12,robs,epinf,87.23645559899246
12,robs,ew,6.252619279713266
13,dy,ea,1.393199734063456
13,dy,eb,47.007396542464114
13,dy,eg,2.3736018017027716
13,dy,eqs,10.581395232301015
13,dy,em,8.487485456482325
13,dy,epinf,27.335607622047586
13,dy,ew,2.8213136109387285
13,pinfobs,ea,0.04132265414883013
13,pinfobs,eb,0.4562181797500888
13,pinfobs,eg,0.00220551391016065
13,pinfobs,eqs,0.16648298046960774
13,pinfobs,em,0.21614913142566486
13,pinfobs,epinf,93.71225784877123
13,pinfobs,ew,5.405363691524413
13,robs,ea,0.07449633233432294
13,robs,eb,3.040187506929698
13,robs,eg,0.013111865987219128
13,robs,eqs,0.38996025790622196
13,robs,em,2.430213899454464
13,robs,epinf,87.84935396477607
13,robs,ew,6.202676172611996
14,dy,ea,1.3924879804680192
14,dy,eb,46.92862930119233
14,dy,eg,2.3692347885943192
14,dy,eqs,10.566683816188785
14,dy,em,8.50805489375654
14,dy,epinf,27.4034649939913
14,dy,ew,2.8314442258087005
14,pinfobs,ea,0.03978415699488771
14,pinfobs,eb,0.46674893152091923
14,pinfobs,eg,0.002103834651636677
14,pinfobs,eqs,0.17790526665134562
14,pinfobs,em,0.22263376676997285
14,pinfobs,epinf,93.75708756198732
14,pinfobs,ew,5.333736481423912
14,robs,ea,0.06910109778003523
14,robs,eb,2.7854972620721425
14,robs,eg,0.012057615179417551
14,robs,eqs,0.35894919752979815
14,robs,em,2.2565936060820486
14,robs,epinf,88.38516798083123
14,robs,ew,6.132633240525339
15,dy,ea,1.3932915743671965
15,dy,eb,46.88597502745788
15,dy,eg,2.36710281367845
15,dy,eqs,10.55873199657021
15,dy,em,8.522910826062349
15,dy,epinf,27.43766503320893
15,dy,ew,2.8343227286549766
15,pinfobs,ea,0.038413695478459804
15,pinfobs,eb,0.47092935837123107
15,pinfobs,eg,0.002011286604603021
15,pinfobs,eqs,0.18657776472097531
