variable,shock,period,value
robs,eg,10,0.006043694069399086
robs,eg,11,0.005415405753310676
robs,eg,12,0.004991040851411999
robs,eg,13,0.004706595007967218
robs,eg,14,0.0045168243882247605
robs,eg,15,0.004390271031651016
robs,eg,16,0.004305364408655921
robs,eg,17,0.004247500941171323
robs,eg,18,0.004206917966773638
robs,eg,19,0.004177176336047417
y,eg,0,0.5994446642764866
y,eg,1,0.5147248068934785
y,eg,2,0.450264283922754
y,eg,3,0.4021461180105188
y,eg,4,0.36659264405358155
y,eg,5,0.3404319856138489
y,eg,6,0.3211758802853378
y,eg,7,0.30694605069464365
y,eg,8,0.29635733707047857
y,eg,9,0.28840284322212234
y,eg,10,0.2823569460735003
y,eg,11,0.2776991375237295
y,eg,12,0.274056635061866
y,eg,13,0.2711622185201829
y,eg,14,0.2688237564874068
y,eg,15,0.26690241823567007
y,eg,16,0.2652972060543365
y,eg,17,0.2639340238783931
y,eg,18,0.2627579713921861
y,eg,19,0.26172791695683817
lab,eg,0,0.4341669614003983
lab,eg,1,0.3715791002527426
lab,eg,2,0.324327038429282
lab,eg,3,0.2893691776399277
lab,eg,4,0.26381328489229394
lab,eg,5,0.24524898926896754
lab,eg,6,0.23179464679293255
lab,eg,7,0.22203521660338463
lab,eg,8,0.21493062752231026
lab,eg,9,0.20972736680525172
lab,eg,10,0.20588443986581925
lab,eg,11,0.20301550287155815
lab,eg,12,0.20084538259837717
lab,eg,13,0.1991781941608524
lab,eg,14,0.19787433020583448
lab,eg,15,0.1968340265237807
lab,eg,16,0.19598570606760163
lab,eg,17,0.1952777490447179
lab,eg,18,0.19467269736405693
lab,eg,19,0.19414317812135598
pinfobs,eqs,0,0.005920157781731605
pinfobs,eqs,1,0.007608246533592489
pinfobs,eqs,2,0.007835645501165
pinfobs,eqs,3,0.007522774463215698
pinfobs,eqs,4,0.006991423037640332
pinfobs,eqs,5,0.006365322690309538
pinfobs,eqs,6,0.005699511960658654
pinfobs,eqs,7,0.005022977588907573
pinfobs,eqs,8,0.0043533053421224155
pinfobs,eqs,9,0.0037021210865180176
pinfobs,eqs,10,0.003077384017083795
pinfobs,eqs,11,0.0024845267341253585
pinfobs,eqs,12,0.001927123375786044
pinfobs,eqs,13,0.001407334250814296
pinfobs,eqs,14,0.0009262272844592356
pinfobs,eqs,15,0.00048402242914780125
pinfobs,eqs,16,8.028332929110871e-05
pinfobs,eqs,17,-0.0002859294433972259
pinfobs,eqs,18,-0.000615934403055518
pinfobs,eqs,19,-0.0009113281475368051
robs,eqs,0,0.02847445503527357
robs,eqs,1,0.05135070698122535
robs,eqs,2,0.06365215501369637
robs,eqs,3,0.06693379838039037
robs,eqs,4,0.06426773676282549
robs,eqs,5,0.05834150331862942
robs,eqs,6,0.05103561822507929
robs,eqs,7,0.04350505006145622
robs,eqs,8,0.03638024423121289
robs,eqs,9,0.02995381428740962
robs,eqs,10,0.0243189306675915
robs,eqs,11,0.019461050614454356
robs,eqs,12,0.015314253544796097
robs,eqs,13,0.011793602598748176
robs,eqs,14,0.008812401136658377
robs,eqs,15,0.0062904642020076285
robs,eqs,16,0.0041573363324132195
robs,eqs,17,0.0023528502248009175
robs,eqs,18,0.0008264173922070128
robs,eqs,19,-0.0004641802650873217
y,eqs,0,0.3241770713259955
y,eqs,1,0.4450167276790725
y,eqs,2,0.47469883055960915
y,eqs,3,0.4582023260980925
y,eqs,4,0.42075159763925146
y,eqs,5,0.37597145475919436
y,eqs,6,0.33084442320810753
y,eqs,7,0.2886534632909623
y,eqs,8,0.2506905017629589
y,eqs,9,0.21722588788462832
y,eqs,10,0.18804422413580424
y,eqs,11,0.16273086750543733
y,eqs,12,0.14081816493669694
y,eqs,13,0.12185478913944782
y,eqs,14,0.10543429744645627
y,eqs,15,0.0912030708631189
y,eqs,16,0.07885859250349588
y,eqs,17,0.06814382191794625
y,eqs,18,0.058840541062959564
y,eqs,19,0.050762994627622765
lab,eqs,0,0.2300641031784463
lab,eqs,1,0.303242779654776
lab,eqs,2,0.31247925169341173
lab,eqs,3,0.2903904866998981
lab,eqs,4,0.2550945017185515
lab,eqs,5,0.21623313694997653
lab,eqs,6,0.17862074746471085
lab,eqs,7,0.14440335521601377
lab,eqs,8,0.11430791119911163
lab,eqs,9,0.08834802364821309
lab,eqs,10,0.06621158126445348
lab,eqs,11,0.04746600055981694
lab,eqs,12,0.031661260809008926
lab,eqs,13,0.018377202149781682
lab,eqs,14,0.007241512488249488
lab,eqs,15,-0.002066900700239349
lab,eqs,16,-0.009821201955673708
lab,eqs,17,-0.016252436769093048
lab,eqs,18,-0.021555812360618307
lab,eqs,19,-0.025896532093409766
