horizon,variable,shock,variance_share
11,pinfobs,epinf,32.78921962941203
11,pinfobs,ew,50.70205533729912
11,robs,ea,10.661764066586914
11,robs,eb,9.19100138762799
11,robs,eg,2.6094089858791234
11,robs,eqs,29.92487861936668
11,robs,em,17.61422206067881
11,robs,epinf,7.353145788963109
11,robs,ew,22.645579090897378
12,dy,ea,14.318317458143573
12,dy,eb,20.799275479809342
12,dy,eg,27.645022711688906
12,dy,eqs,21.734293727964694
12,dy,em,6.126937862534964
12,dy,epinf,3.866868658831009
12,dy,ew,5.509284101027515
12,pinfobs,ea,4.165893232147414
12,pinfobs,eb,0.7226465601123013
12,pinfobs,eg,0.6417636915822215
12,pinfobs,eqs,5.339779600631766
12,pinfobs,em,5.535522932787818
12,pinfobs,epinf,32.33223051074246
12,pinfobs,ew,51.26216347199601
12,robs,ea,10.489106786405014
12,robs,eb,9.011942416410657
12,robs,eg,2.6143494990373215
12,robs,eqs,29.944918837232017
12,robs,em,17.317126510071045
12,robs,epinf,7.212489924996285
12,robs,ew,23.410066025847673
13,dy,ea,14.303093393079019
13,dy,eb,20.726540782971643
13,dy,eg,27.55136368969191
13,dy,eqs,21.830781872024232
13,dy,em,6.156853431955148
13,dy,epinf,3.929260987977343
13,dy,ew,5.502105842300701
13,pinfobs,ea,4.116244767630249
13,pinfobs,eb,0.7157152935413897
13,pinfobs,eg,0.6490473990623178
13,pinfobs,eqs,5.2957247274178805
13,pinfobs,em,5.518607551680762
13,pinfobs,epinf,31.979059795793894
13,pinfobs,ew,51.72560046487351
13,robs,ea,10.354111997653456
13,robs,eb,8.876813442650738
13,robs,eg,2.6234760372860473
13,robs,eqs,29.86000678809681
13,robs,em,17.094691125152213
13,robs,epinf,7.117642420662869
13,robs,ew,24.073258188497864
14,dy,ea,14.30355246461365
14,dy,eb,20.665889649544464
14,dy,eg,27.474035449755817
14,dy,eqs,21.895347564690955
14,dy,em,6.1754673480138065
14,dy,epinf,3.997559126696135
14,dy,ew,5.488148396685161
14,pinfobs,ea,4.075220325288671
14,pinfobs,eb,0.7094313038444331
14,pinfobs,eg,0.6556531102072437
14,pinfobs,eqs,5.250908501512947
14,pinfobs,em,5.49483625659172
14,pinfobs,epinf,31.699768165726383
14,pinfobs,ew,52.1141823368286
14,robs,ea,10.247855304010912
14,robs,eb,8.772844335333414
14,robs,eg,2.6355318154881466
14,robs,eqs,29.71593245652371
14,robs,em,16.922158673912005
14,robs,epinf,7.055290061715047
14,robs,ew,24.650387353016765
